group,subject_number,block,task,central_task_accuracy,central_task_signal,central_task_decision,central_task_confidence,peripheral_task_accuracy,peripheral_task_signal,peripheral_task_decision,peripheral_task_confidence,central_frames,peripheral_frames,gabor_alpha_contrast,peripheral_task_reaction_time
control,2,30,low_expectations_diverted_attentionert,1,1,1,3,1,1,1,3,7,23,0.108827643,2.233025567
control,2,30,low_expectations_diverted_attentionert,0,-1,1,3,0,-1,1,3,7,23,0.108827643,2.182936061
control,2,30,low_expectations_diverted_attentionert,0,-1,1,3,1,1,1,3,7,23,0.108827643,1.983023962
control,2,30,low_expectations_diverted_attentionert,1,1,1,3,1,1,1,3,7,23,0.108827643,1.832587045
control,2,30,low_expectations_diverted_attentionert,1,1,1,3,1,1,1,3,7,23,0.108827643,1.682823731
control,2,30,low_expectations_diverted_attentionert,1,-1,-1,-4,1,1,1,2,7,23,0.108827643,3.866139262
control,2,31,medium_expectations_diverted_attentionert,1,-1,-1,-4,0,-1,1,2,7,23,0.108827643,3.099274327
control,2,31,medium_expectations_diverted_attentionert,1,1,1,3,1,1,1,2,7,23,0.112116153,6.299666332
control,2,31,medium_expectations_diverted_attentionert,1,-1,-1,-3,1,-1,-1,-2,7,23,0.111283242,6.399514959
control,2,31,medium_expectations_diverted_attentionert,0,1,-1,-3,1,-1,-1,-2,7,23,0.110457092,7.866201562
control,2,31,medium_expectations_diverted_attentionert,1,1,1,4,0,-1,1,3,7,23,0.109637636,4.466264467
control,2,31,medium_expectations_diverted_attentionert,1,-1,-1,-4,1,1,1,3,7,23,0.112854287,2.615805008
control,2,31,medium_expectations_diverted_attentionert,0,1,-1,-3,1,1,1,3,7,23,0.112034772,3.882824562
control,2,31,medium_expectations_diverted_attentionert,1,-1,-1,-4,1,1,1,3,7,23,0.1112218,2.016198598
control,2,31,medium_expectations_diverted_attentionert,1,1,1,3,1,-1,-1,-4,7,23,0.110415308,1.866294825
control,2,31,medium_expectations_diverted_attentionert,1,-1,-1,-4,0,1,-1,-4,7,23,0.109615233,1.682807873
control,2,31,medium_expectations_diverted_attentionert,1,-1,-1,-3,1,1,1,2,7,23,0.112756776,5.949602388
control,2,31,medium_expectations_diverted_attentionert,1,1,1,3,1,-1,-1,-4,7,23,0.111956553,1.982525933
control,2,32,medium_expectations_full_attention,.,.,.,.,0,-1,1,2,7,23,0.026196361,2.149564328
control,2,32,medium_expectations_full_attention,.,.,.,.,1,-1,-1,-4,7,23,0.030152068,0.832454514
control,2,32,medium_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.029145026,1.132647571
control,2,32,medium_expectations_full_attention,.,.,.,.,0,-1,1,3,7,23,0.028147819,0.832139234
control,2,32,medium_expectations_full_attention,.,.,.,.,1,-1,-1,-4,7,23,0.032008244,0.750034265
control,2,32,medium_expectations_full_attention,.,.,.,.,1,-1,-1,-2,7,23,0.031011263,2.315760718
control,2,32,medium_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.030023915,1.433093607
control,2,32,medium_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.029046051,1.699923993
control,2,32,medium_expectations_full_attention,.,.,.,.,1,-1,-1,-3,7,23,0.028077526,1.616010412
control,2,32,medium_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.027118199,1.982915219
control,2,32,medium_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.026167928,0.849526079
control,2,32,medium_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.025226576,0.999894655
control,2,33,high_expectations_full_attention,.,.,.,.,1,-1,-1,-4,7,23,0.02429401,0.93289179
control,2,33,high_expectations_full_attention,.,.,.,.,1,-1,-1,-4,7,23,0.02429401,0.649823915
control,2,33,high_expectations_full_attention,.,.,.,.,0,-1,1,3,7,23,0.02429401,1.266012168
control,2,33,high_expectations_full_attention,.,.,.,.,0,-1,1,3,7,23,0.02429401,0.6994203
control,2,33,high_expectations_full_attention,.,.,.,.,0,-1,1,3,7,23,0.02429401,1.066522959
control,2,33,high_expectations_full_attention,.,.,.,.,1,-1,-1,-2,7,23,0.02429401,2.149793142
control,2,33,high_expectations_full_attention,.,.,.,.,0,1,-1,-2,7,23,0.02429401,2.282584194
control,2,33,high_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.02429401,2.23297837
control,2,33,high_expectations_full_attention,.,.,.,.,0,-1,1,3,7,23,0.02429401,0.982722653
control,2,33,high_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.02429401,3.032947332
control,2,33,high_expectations_full_attention,.,.,.,.,1,-1,-1,-4,7,23,0.02429401,1.04972665
control,2,33,high_expectations_full_attention,.,.,.,.,0,-1,1,3,7,23,0.02429401,1.716282308
control,2,34,low_expectations_diverted_attentionert,0,-1,1,1,1,1,1,2,7,23,0.111162607,5.216323276
control,2,34,low_expectations_diverted_attentionert,1,-1,-1,-2,0,1,-1,-2,7,23,0.111162607,3.233311774
control,2,34,low_expectations_diverted_attentionert,0,1,-1,-3,1,1,1,3,7,23,0.111162607,5.166111811
control,2,34,low_expectations_diverted_attentionert,1,-1,-1,-4,1,-1,-1,-4,7,23,0.111162607,2.249909852
control,2,34,low_expectations_diverted_attentionert,0,1,-1,-3,1,-1,-1,-4,7,23,0.111162607,3.466085872
control,2,34,low_expectations_diverted_attentionert,0,-1,1,4,1,1,1,3,7,23,0.111162607,2.582895056
control,2,34,low_expectations_diverted_attentionert,0,-1,1,3,1,1,1,2,7,23,0.111162607,4.499755516
control,2,34,low_expectations_diverted_attentionert,1,1,1,3,1,1,1,3,7,23,0.111162607,4.215955134
control,2,34,low_expectations_diverted_attentionert,1,1,1,3,1,1,1,3,7,23,0.111162607,2.366945586
control,2,34,low_expectations_diverted_attentionert,0,-1,1,3,1,-1,-1,-4,7,23,0.111162607,1.6992704
control,2,34,low_expectations_diverted_attentionert,1,1,1,3,0,1,-1,-4,7,23,0.111162607,2.216689907
control,2,34,low_expectations_diverted_attentionert,1,1,1,3,1,1,1,3,7,23,0.111162607,1.766395601
control,2,35,low_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.02429401,3.082936401
control,2,35,low_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.02429401,1.36663899
control,2,35,low_expectations_full_attention,.,.,.,.,0,-1,1,3,7,23,0.02429401,1.066603384
control,2,35,low_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.02429401,1.3165408
control,2,35,low_expectations_full_attention,.,.,.,.,0,-1,1,3,7,23,0.02429401,1.683316474
control,2,35,low_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.02429401,0.932763413
control,2,35,low_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.02429401,1.099552982
control,2,35,low_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.02429401,0.999526891
control,2,35,low_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.02429401,0.983338487
control,2,35,low_expectations_full_attention,.,.,.,.,0,-1,1,3,7,23,0.02429401,1.28318417
control,2,35,low_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.02429401,0.966286934
control,2,35,low_expectations_full_attention,.,.,.,.,1,1,1,3,7,23,0.02429401,1.116503344
control,2,36,high_expectations_diverted_attentionert,0,1,-1,-3,1,1,1,3,7,23,0.111162607,5.482412848
control,2,36,high_expectations_diverted_attentionert,1,1,1,4,1,1,1,3,7,23,0.111162607,2.632876574
control,2,36,high_expectations_diverted_attentionert,1,-1,-1,-4,1,-1,-1,-4,7,23,0.111162607,2.316231184
control,2,36,high_expectations_diverted_attentionert,1,-1,-1,-3,1,-1,-1,-4,7,23,0.111162607,1.933295802
control,2,36,high_expectations_diverted_attentionert,1,-1,-1,-3,1,-1,-1,-2,7,23,0.111162607,2.866357881
control,2,36,high_expectations_diverted_attentionert,1,-1,-1,-4,1,-1,-1,-4,7,23,0.111162607,1.249998584
control,2,36,high_expectations_diverted_attentionert,0,1,-1,-4,1,-1,-1,-4,7,23,0.111162607,1.799458096
control,2,36,high_expectations_diverted_attentionert,1,-1,-1,-4,1,-1,-1,-4,7,23,0.111162607,2.249693876
control,2,36,high_expectations_diverted_attentionert,1,-1,-1,-3,1,-1,-1,-4,7,23,0.111162607,2.165909051
control,2,36,high_expectations_diverted_attentionert,0,1,-1,-3,1,-1,-1,-4,7,23,0.111162607,1.982912954
control,2,36,high_expectations_diverted_attentionert,1,1,1,3,1,-1,-1,-4,7,23,0.111162607,1.84948077
control,2,36,high_expectations_diverted_attentionert,1,1,1,2,1,1,1,2,7,23,0.111162607,4.916415292
control,3,-24,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.2,38.68305104
control,3,-24,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.192411878,42.16599438
control,3,-24,training_full_attention_contrast_threshold,.,.,.,.,0,1,-1,-4,18,23,0.184880719,7.032769869
control,3,-24,training_full_attention_contrast_threshold,.,.,.,.,0,1,-1,-4,18,23,0.212722287,2.633046485
control,3,-24,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.237681986,2.033264123
control,3,-24,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.231768634,3.000089487
control,3,-24,training_full_attention_contrast_threshold,.,.,.,.,0,1,-1,-4,18,23,0.225911579,2.833191552
control,3,-24,training_full_attention_contrast_threshold,.,.,.,.,0,1,-1,-4,18,23,0.248562641,2.798953648
control,3,-24,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.269247259,2.982669792
control,3,-24,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.264274117,2.999747021
control,3,-24,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.259352398,2.582591104
control,3,-24,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.254546515,1.782992548
control,3,-23,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.249792905,5.032821598
control,3,-23,training_full_attention_contrast_threshold,.,.,.,.,0,1,-1,-4,18,23,0.245151694,1.999901074
control,3,-23,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.263216879,27.81576204
control,3,-23,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.25883648,31.16577312
control,3,-23,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,4,18,23,0.254561758,4.665805405
control,3,-23,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.270374225,2.949541976
control,3,-23,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.266309992,2.466205187
control,3,-23,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.262346922,3.1497467
control,3,-23,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,4,18,23,0.258429247,4.499521039
control,3,-23,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.273355862,3.932622575
control,3,-23,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.269598208,1.999021688
control,3,-23,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,4,18,23,0.265930071,2.182556215
control,3,-22,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.280148631,2.216033294
control,3,-22,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.276611742,2.433097383
control,3,-22,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.273161013,1.999690761
control,3,-22,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.26974933,1.19935479
control,3,-22,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.26641674,0.866362034
control,3,-22,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.26316316,0.883089624
control,3,-22,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,4,18,23,0.259943941,1.19952017
control,3,-22,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-3,18,23,0.272100999,1.482937308
control,3,-22,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.268977042,1.166268507
control,3,-22,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-3,18,23,0.265924204,2.266187365
control,3,-22,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,4,18,23,0.262941954,1.049447996
control,3,-22,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.274109619,1.066098181
control,3,-21,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,4,18,23,0.271171036,1.049265624
control,3,-21,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.28217734,1.065727774
control,3,-21,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.279308364,0.950140064
control,3,-21,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,4,18,23,0.276503628,96.19929702
control,3,-21,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.287354717,1.366327486
control,3,-21,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,4,18,23,0.284610005,1.199563214
control,3,-21,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.294762383,0.882881199
control,3,-21,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.292043396,0.749350467
control,3,-21,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.289383332,0.799476597
control,3,-21,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.286781487,1.499972248
control,3,-21,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.284237041,1.04974855
control,3,-21,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.281716818,1.216592869
control,3,-20,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.279248392,0.899360718
control,3,-20,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.276831013,0.732890582
control,3,-20,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.274463857,0.916306926
control,3,-20,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.272116177,0.566332092
control,3,-20,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.269813661,0.899852328
control,3,-20,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.267555599,0.900030924
control,3,-20,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.265341235,0.499765333
control,3,-20,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.263169777,0.91614721
control,3,-20,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.261011718,0.533333787
control,3,-20,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.258892141,1.032438353
control,3,-20,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.256810393,0.766719943
control,3,-20,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.254765799,0.916762667
control,3,-19,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.252731847,0.865921397
control,3,-19,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,4,18,23,0.250731124,1.116131427
control,3,-19,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.258286216,0.649742358
control,3,-19,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.256322592,0.999421924
control,3,-19,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.254392993,0.949639769
control,3,-19,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.252472173,86.1496372
control,3,-19,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.250581815,1.515895968
control,3,-19,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.248721397,1.13288809
control,3,-19,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.246890391,37.31639921
control,3,-19,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,4,18,23,0.245088259,3.266065407
control,3,-19,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,4,18,23,0.252181021,10.99963752
control,3,-19,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.258993265,1.332889298
control,3,-18,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.257201249,1.399366193
control,3,-18,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.255438576,1.066468588
control,3,-18,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.253704668,0.982745308
control,3,-18,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,4,18,23,0.251976442,1.299196244
control,3,-18,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,4,18,23,0.258452855,0.799506049
control,3,-18,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.26509319,1.516252404
control,3,-18,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.263388476,0.882809459
control,3,-18,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.261690269,1.016388899
control,3,-18,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.2600184,0.832347658
control,3,-18,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.258372373,0.999936566
control,3,-18,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.256751694,0.949318448
control,3,-18,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.255155871,0.599532404
control,3,-17,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.253584412,0.966027913
control,3,-17,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.252016386,0.766065596
control,3,-17,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.25047028,0.583377227
control,3,-17,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.248945704,0.666219611
control,3,-17,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.247442269,0.866497964
control,3,-17,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.245959589,0.983246735
control,3,-17,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.244497281,2.416315422
control,3,-17,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.243036351,0.86575866
control,3,-17,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.241593721,0.816313685
control,3,-17,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.240169089,0.849142835
control,3,-17,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.238762153,0.466797989
control,3,-17,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.237372612,0.649035149
control,3,-16,training_central_SOA,1,1,1,4,.,.,.,.,18,23,0.23600017,.
control,3,-16,training_central_SOA,0,-1,1,4,.,.,.,.,14,23,0.23600017,.
control,3,-16,training_central_SOA,1,1,1,4,.,.,.,.,24,23,0.23600017,.
control,3,-16,training_central_SOA,1,-1,-1,-4,.,.,.,.,22,23,0.23600017,.
control,3,-16,training_central_SOA,1,1,1,4,.,.,.,.,20,23,0.23600017,.
control,3,-16,training_central_SOA,1,-1,-1,-4,.,.,.,.,18,23,0.23600017,.
control,3,-16,training_central_SOA,1,-1,-1,-4,.,.,.,.,17,23,0.23600017,.
control,3,-16,training_central_SOA,0,1,-1,-3,.,.,.,.,15,23,0.23600017,.
control,3,-16,training_central_SOA,1,-1,-1,-3,.,.,.,.,18,23,0.23600017,.
control,3,-16,training_central_SOA,0,-1,1,4,.,.,.,.,17,23,0.23600017,.
control,3,-16,training_central_SOA,1,1,1,4,.,.,.,.,20,23,0.23600017,.
control,3,-16,training_central_SOA,1,1,1,4,.,.,.,.,19,23,0.23600017,.
control,3,-15,training_central_SOA,1,1,1,4,.,.,.,.,18,23,0.23600017,.
control,3,-15,training_central_SOA,1,1,1,4,.,.,.,.,18,23,0.23600017,.
control,3,-15,training_central_SOA,1,1,1,4,.,.,.,.,17,23,0.23600017,.
control,3,-15,training_central_SOA,1,1,1,4,.,.,.,.,17,23,0.23600017,.
control,3,-15,training_central_SOA,1,-1,-1,-4,.,.,.,.,17,23,0.23600017,.
control,3,-15,training_central_SOA,1,-1,-1,-4,.,.,.,.,17,23,0.23600017,.
control,3,-15,training_central_SOA,1,-1,-1,-4,.,.,.,.,17,23,0.23600017,.
control,3,-15,training_central_SOA,1,-1,-1,-4,.,.,.,.,16,23,0.23600017,.
control,3,-15,training_central_SOA,1,-1,-1,-4,.,.,.,.,16,23,0.23600017,.
control,3,-15,training_central_SOA,1,1,1,4,.,.,.,.,16,23,0.23600017,.
control,3,-15,training_central_SOA,1,-1,-1,-4,.,.,.,.,16,23,0.23600017,.
control,3,-15,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-14,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-14,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-14,training_central_SOA,0,-1,1,4,.,.,.,.,14,23,0.23600017,.
control,3,-14,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-14,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-14,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-14,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-14,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-14,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-14,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-14,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-14,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-13,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-13,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-13,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-13,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-13,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-13,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-13,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-13,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-13,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-13,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-13,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-13,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-12,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-12,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-12,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-12,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-12,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-12,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-12,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-12,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-12,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-12,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-12,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-12,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-11,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-11,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-11,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-11,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-11,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-11,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-11,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-11,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-11,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-11,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-11,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-11,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-10,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-10,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-10,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-10,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-10,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-10,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-10,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-10,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-10,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-10,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-10,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-10,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-9,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-9,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-9,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-9,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-9,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-9,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-9,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-9,training_central_SOA,1,1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-9,training_central_SOA,0,-1,1,4,.,.,.,.,15,23,0.23600017,.
control,3,-9,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-9,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-9,training_central_SOA,1,-1,-1,-4,.,.,.,.,15,23,0.23600017,.
control,3,-8,training_diverted_attention_contrast_threshold,1,1,1,4,1,1,1,4,15,23,0.247800179,3.148071751
control,3,-8,training_diverted_attention_contrast_threshold,0,-1,1,4,1,1,1,4,15,23,0.244208266,1.832764885
