group,subject_number,block,task,central_task_accuracy,central_task_signal,central_task_decision,central_task_confidence,peripheral_task_accuracy,peripheral_task_signal,peripheral_task_decision,peripheral_task_confidence,central_frames,peripheral_frames,gabor_alpha_contrast,peripheral_task_reaction_time
control,1,-20,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.040277171,2.432709607
control,1,-20,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.037525685,0.765946658
control,1,-20,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,2,18,23,0.034817257,3.73304539
control,1,-20,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.044900946,1.682663259
control,1,-19,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.04227197,3.432910858
control,1,-19,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.039683425,2.166155989
control,1,-19,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,3,18,23,0.03713499,1.399551585
control,1,-19,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.034626315,0.98302283
control,1,-19,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,3,18,23,0.032122801,1.716031972
control,1,-19,training_full_attention_contrast_threshold,.,.,.,.,0,1,-1,-2,18,23,0.041506753,1.649527892
control,1,-19,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.050713567,0.382945577
control,1,-19,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,2,18,23,0.048342691,3.016185761
control,1,-19,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.046011422,0.549527099
control,1,-19,training_full_attention_contrast_threshold,.,.,.,.,0,1,-1,-2,18,23,0.043719142,3.532943745
control,1,-19,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,2,18,23,0.052308432,2.999571068
control,1,-19,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.050054105,0.79996783
control,1,-18,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,3,18,23,0.047836616,1.766169053
control,1,-18,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,2,18,23,0.045655358,2.283051262
